betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0,0.727572408321157
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.05,0.778649101658672
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.1,0.817714515190714
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.15,0.848207828355006
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.2,0.872490225389789
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.25,0.892180080889759
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.3,0.908398098964262
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.35,0.921932783526618
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.4,0.933349170873123
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.45,0.943060202474067
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.5,0.951373934767547
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.55,0.958525118727001
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.6,0.964696502094437
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.65,0.970033349467538
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.7,0.97465345430931
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.75,0.978654063782285
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.8,0.982116725321452
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.85,0.985110722189918
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.9,0.987695547518263
8.8e-07,4,3,8.8e-07,6.1,3,40,0,0.95,0.989922707714076
8.8e-07,4,3,8.8e-07,6.1,3,40,0,1,0.991837065301696
8.8e-07,4,3,8.8e-07,6.1,3,40,0.05,0,0.667310557128897
8.8e-07,4,3,8.8e-07,6.1,3,40,0.05,0.05,0.732949587545925
8.8e-07,4,3,8.8e-07,6.1,3,40,0.05,0.1,0.782440495675656
8.8e-07,4,3,8.8e-07,6.1,3,40,0.05,0.15,0.820423654197594
8.8e-07,4,3,8.8e-07,6.1,3,40,0.05,0.2,0.850168263389808
8.8e-07,4,3,8.8e-07,6.1,3,40,0.05,0.25,0.873922385727145
8.8e-07,4,3,8.8e-07,6.1,3,40,0.05,0.3,0.893231364125722
8.8e-07,4,3,8.8e-07,6.1,3,40,0.05,0.35,0.909168950975511
8.8e-07,4,3,8.8e-07,6.1,3,40,0.05,0.4,0.922493178205316
8.8e-07,4,3,8.8e-07,6.1,3,40,0.05,0.45,0.933749020575709
