betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0,0.726895279339202
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.05,0.763740513185695
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.1,0.794853675712569
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.15,0.821291853057962
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.2,0.843921643395418
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.25,0.863440279219521
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.3,0.880403325626394
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.35,0.895251617336177
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.4,0.908334645155243
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.45,0.919929787235538
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.5,0.930257700960016
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.55,0.939494493454614
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.6,0.947781310800059
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.65,0.95523189780286
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.7,0.961938573207007
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.75,0.967976961638195
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.8,0.973409741920118
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.85,0.978289609998758
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.9,0.982661607845521
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,0.95,0.986564941014809
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0,1,0.990034380060144
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0.05,0,0.655557742618702
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0.05,0.05,0.703794210342193
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0.05,0.1,0.744304187227779
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0.05,0.15,0.778419822028174
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0.05,0.2,0.807304605754878
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0.05,0.25,0.831927998130566
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0.05,0.3,0.853076927268511
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0.05,0.35,0.871381221494058
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0.05,0.4,0.887341528311232
8.8e-07,6.1,2.4,2.7e-06,4,3,40,0.05,0.45,0.901354824377815
