betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0,0.727568663006996
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.05,0.76884429132821
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.1,0.802444380437888
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.15,0.830099504487356
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.2,0.853127325477789
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.25,0.872520500303462
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.3,0.889025935575845
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.35,0.903207913878212
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.4,0.915495749217462
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.45,0.926218916140684
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.5,0.935632747459522
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.55,0.943937232784011
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.6,0.951290825477093
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.65,0.957820650164484
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.7,0.963630058123718
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.75,0.968804260799081
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.8,0.973414525598965
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.85,0.977521306965479
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.9,0.981176596234133
8.8e-07,6.1,3,2.7e-06,4,3,40,0,0.95,0.984425669648753
8.8e-07,6.1,3,2.7e-06,4,3,40,0,1,0.987308402225698
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0,0.635532188506831
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.05,0.693117430656243
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.1,0.739684884068362
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.15,0.77756444865699
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.2,0.808660576851349
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.25,0.834460481267047
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.3,0.856101302418036
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.35,0.874445995408205
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.4,0.890149492812865
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.45,0.903711088340702
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.5,0.915514073471209
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.55,0.925855141997249
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.6,0.934966128486317
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.65,0.943030030993802
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.7,0.950192881517224
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.75,0.956572599531614
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.8,0.962265590181164
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.85,0.967351711231789
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.9,0.97189800405676
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,0.95,0.975961501897387
8.8e-07,6.1,3,2.7e-06,4,3,40,0.05,1,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0,0.513131556594852
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.05,0.591782083751276
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.1,0.656066921826431
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.15,0.708309496864812
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.2,0.750853244712951
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.25,0.785732355831538
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.3,0.814591218804435
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.35,0.838713246051829
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.4,0.859084288042436
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.45,0.87645779044084
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.5,0.891410207770019
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.55,0.904384721159246
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.6,0.915724391727081
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.65,0.925696935778067
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.7,0.93451315766429
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.75,0.942340662472398
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.8,0.949314098640053
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.85,0.955542855952012
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.9,0.9611168529138
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,0.95,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.1,1,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0,0.35855524988376
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.05,0.459490684393574
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.1,0.545274915043007
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.15,0.616370973315953
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.2,0.674596329547511
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.25,0.722165340890391
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.3,0.761171838688517
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.35,0.793390024528528
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.4,0.82024369111718
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.45,0.842844923438522
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.5,0.862052122840107
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.55,0.878525794324408
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.6,0.892775192577671
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.65,0.905194924348781
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.7,0.916092839345226
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.75,0.925710987759754
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.8,0.934241346270784
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.85,0.941837594290342
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.9,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,0.95,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.15,1,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0,0.18211003766622
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.05,0.29801614921996
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.1,0.403955707084042
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.15,0.496241349489187
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.2,0.574053132198766
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.25,0.63845928271227
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.3,0.691369721933332
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.35,0.734838918517381
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.4,0.770724842181501
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.45,0.80057528828424
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.5,0.82562676492761
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.55,0.846846834588007
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.6,0.864986071146279
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.65,0.88062581287919
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.7,0.894217516240199
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.75,0.906113614066476
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.8,0.916591072036228
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.85,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.9,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,0.95,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.2,1,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0,0.00676410144644142
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.05,0.122046998753522
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.1,0.237859703360541
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.15,0.347177064600924
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.2,0.445023091842935
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.25,0.529214961448054
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.3,0.599855444084095
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.35,0.658353799333969
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.4,0.706597449203658
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.45,0.746460271004329
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.5,0.779584420712331
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.55,0.807321761765333
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.6,0.830749670263295
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.65,0.850713307412429
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.7,0.867871639319951
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.75,0.882738302613665
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.8,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.85,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.9,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,0.95,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.25,1,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0,-0.217238974712503
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.05,-0.0671735968315204
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.1,0.0650957160351574
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.15,0.178935293093419
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.2,0.289870175034829
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.25,0.392061787007702
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.3,0.482039586064225
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.35,0.558790790459662
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.4,0.623026879609211
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.45,0.676316126610973
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.5,0.720456771499367
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.55,0.757139393079629
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.6,0.787812627879369
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.65,0.813659395911295
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.7,0.835621687992189
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.75,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.8,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.85,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.9,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,0.95,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.3,1,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0,-0.394520794138822
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.05,-0.276106639446958
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.1,-0.137698152724427
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.15,0.0117275823892339
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.2,0.121986368803258
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.25,0.232769082622711
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.3,0.337880362584921
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.35,0.432791676645543
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.4,0.515325630827617
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.45,0.585324177795396
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.5,0.643869501511399
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.55,0.69256925007493
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.6,0.73309770811423
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.65,0.76696977100502
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.7,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.75,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.8,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.85,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.9,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,0.95,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.35,1,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0,-0.525313133231667
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.05,-0.436156497726572
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.1,-0.328584561618352
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.15,-0.201601083529796
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.2,-0.0566668002375843
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.25,0.0676238958926531
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.3,0.176587969055923
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.35,0.283062944830478
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.4,0.381816335753975
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.45,0.469580631683264
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.5,0.545211816170392
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.55,0.609139707107581
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.6,0.662646141423148
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.65,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.7,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.75,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.8,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.85,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.9,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,0.95,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.4,1,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0,-0.620243143626668
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.05,-0.553833329489631
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.1,-0.472964896311536
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.15,-0.375273054748037
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.2,-0.259191894835328
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.25,-0.124939761495639
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.3,0.0163258492183722
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.35,0.121998516026676
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.4,0.228241205271266
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.45,0.329543318596943
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.5,0.421749717069629
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.55,0.502698663186976
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.6,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.65,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.7,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.75,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.8,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.85,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.9,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,0.95,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.45,1,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0,-0.689668890738262
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.05,-0.639708551983699
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.1,-0.579092036717113
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.15,-0.505544587277261
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.2,-0.416756631248407
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.25,-0.310860586619164
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.3,-0.187209808097467
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.35,-0.0473272509326988
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.4,0.0696197131607162
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.45,0.174088788921776
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.5,0.27650022721326
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.55,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.6,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.65,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.7,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.75,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.8,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.85,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.9,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,0.95,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.5,1,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0,-0.741427602292778
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.05,-0.703121933007874
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.1,-0.657085204876248
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.15,-0.601539022659676
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.2,-0.534435891566423
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.25,-0.453599747192565
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.3,-0.357053563161505
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.35,-0.243603914314616
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.4,-0.113655297317917
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.45,0.0200028359367733
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.5,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.55,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.6,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.65,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.7,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.75,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.8,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.85,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.9,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,0.95,NA
8.8e-07,6.1,3,2.7e-06,4,3,40,0.55,1,NA
