betaK,deltaK,cK,betaE,deltaE,cE,percK,fX1,fX3,riskscore
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0,0.819091737047971
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.05,0.846042652756548
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.1,0.86841556258679
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.15,0.887151229545869
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.2,0.902973154990177
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.25,0.916439386014544
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.3,0.927982456388117
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.35,0.937939755792257
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.4,0.946576437385805
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.45,0.954102628445679
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.5,0.960686343484665
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.55,0.966463185728599
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.6,0.971543649999617
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.65,0.976018641698088
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.7,0.979963668437787
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.75,0.983442039302924
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.8,0.986507322057216
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.85,0.9892052422753
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.9,0.991575160861769
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,0.95,0.993651231122722
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0,1,0.995463311022222
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0,0.779134373729508
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.05,0.813617742058722
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.1,0.84187977779383
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.15,0.865252630900974
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.2,0.884757077124278
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.25,0.901175221742893
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.3,0.91510793252532
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.35,0.927019064947818
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.4,0.937269003367191
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.45,0.946139878629734
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.5,0.953854444175231
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.55,0.960590185945388
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.6,0.966489878459664
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.65,0.971669502473371
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.7,0.976224205185767
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.75,0.980232810799331
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.8,0.983761251550868
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.85,0.986865194300229
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.9,0.989592064034382
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,0.95,0.991982613769318
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.05,1,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0,0.726519337756241
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.05,0.771457363454318
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.1,0.807818233371486
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.15,0.837495171551902
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.2,0.861941238821619
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.25,0.8822662467224
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.3,0.899317311800716
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.35,0.913742616700699
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.4,0.926040469698595
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.45,0.936596425378559
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.5,0.945711104089741
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.55,0.953620938964899
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.6,0.960513623446663
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.65,0.966539621704189
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.7,0.971820767294694
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.75,0.976456711897804
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.8,0.980529785931439
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.85,0.98410868301988
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.9,0.987251270964395
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,0.95,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.1,1,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0,0.655988230777675
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.05,0.715597658968876
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.1,0.763266138620054
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.15,0.801666611405858
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.2,0.832872489288459
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.25,0.858471780218619
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.3,0.879673511776695
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.35,0.897397019477836
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.4,0.912342834645894
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.45,0.925047207676387
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.5,0.935923272794724
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.55,0.94529180294065
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.6,0.953404061249375
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.65,0.960458747543723
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.7,0.966614573692354
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.75,0.97199961897288
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.8,0.976718317762709
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.85,0.980856706218514
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.9,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,0.95,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.15,1,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0,0.559980742244554
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.05,0.640243215894941
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.1,0.703861114216559
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.15,0.754514083554938
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.2,0.795133496266184
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.25,0.827993811876935
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.3,0.854833824203079
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.35,0.876973268017476
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.4,0.895411822240665
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.45,0.910908016871755
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.5,0.92403993555227
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.55,0.935250962187956
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.6,0.944883852920747
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.65,0.953205958466082
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.7,0.960427851562804
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.75,0.966717092502509
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.8,0.972208425989078
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.85,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.9,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,0.95,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.2,1,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0,0.428045003226085
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.05,0.537068925286375
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.1,0.623208659787733
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.15,0.691229152311731
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.2,0.745149106812222
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.25,0.788186191132441
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.3,0.822839299422758
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.35,0.851015891178384
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.4,0.874159402912526
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.45,0.893359015832971
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.5,0.909437600906273
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.55,0.923019423171703
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.6,0.93458108083265
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.65,0.944489331594285
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.7,0.953028989259978
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.75,0.960423441776197
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.8,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.85,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.9,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,0.95,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.25,1,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0,0.246950885357436
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.05,0.394665853875069
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.1,0.512140776126815
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.15,0.604748776316758
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.2,0.677610954102206
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.25,0.73511264540994
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.3,0.780788155682419
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.35,0.817386962174485
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.4,0.847005396440013
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.45,0.871225314272205
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.5,0.891235757824026
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.55,0.907931082924178
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.6,0.921986604762137
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.65,0.933915433695214
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.7,0.944110558193549
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.75,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.8,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.85,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.9,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,0.95,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.3,1,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0,0.00293849868055418
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.05,0.198959549675508
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.1,0.35823394053215
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.15,0.484978877921624
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.2,0.584710191849646
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.25,0.662903905934802
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.3,0.724338734849136
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.35,0.77289845440613
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.4,0.81161234841296
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.45,0.842788480137486
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.5,0.868163831136807
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.55,0.889039045175062
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.6,0.906388026210465
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.65,0.920942603454511
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.7,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.75,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.8,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.85,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.9,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,0.95,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.35,1,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0,-0.078016089359829
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.05,-0.0159213800859299
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.1,0.146645059986158
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.15,0.31843484197464
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.2,0.455339323747958
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.25,0.562919394377229
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.3,0.64699168226288
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.35,0.712752763341779
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.4,0.764470986373922
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.45,0.805488084665794
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.5,0.838349746493154
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.55,0.864967069869084
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.6,0.886765637444486
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.65,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.7,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.75,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.8,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.85,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.9,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,0.95,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.4,1,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0,-0.172738562138042
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.05,-0.0997260490912927
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.1,-0.0339322839015306
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.15,0.0896377087151987
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.2,0.274924343381679
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.25,0.422948734988136
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.3,0.53917979426063
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.35,0.629742002050776
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.4,0.700269958360817
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.45,0.755453632117565
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.5,0.798983469382379
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.55,0.83367211151839
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.6,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.65,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.7,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.75,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.8,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.85,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.9,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,0.95,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.45,1,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.5,0,-0.27655781793904
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.5,0.05,-0.198600567304809
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.5,0.1,-0.12282057530548
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.5,0.15,-0.053363706698023
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.5,0.2,0.027558369780545
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.5,0.25,0.227328225811521
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.5,0.3,0.387501227466523
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.5,0.35,0.513268363581703
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.5,0.4,0.611004153802124
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.5,0.45,0.686793890536288
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.5,0.5,0.745787395591601
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.5,0.55,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.5,0.6,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.5,0.65,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.5,0.7,NA
8.8e-07,6.1,3,8.8e-07,4,3.6,80,0.5,0.75,NA
